ID,Prediction,Prob,Predicted,Truth
132,0,0.226749439,0,TRUE
224,1,0.002602912,0,FALSE
198,0,0.010142589,0,TRUE
201,0,0.554074612,1,FALSE
151,0,0.000825337,0,TRUE
100,1,0.470119725,1,TRUE
162,1,0.003976188,0,FALSE
25,1,0.003820059,0,FALSE
208,0,0.99341916,1,FALSE
155,0,0.933425951,1,FALSE
187,0,0.775732164,1,FALSE
86,1,0.001431799,0,FALSE
182,0,0.050147434,0,TRUE
195,0,0.000513882,0,TRUE
50,0,0.422320204,0,TRUE
31,0,0.304557432,0,TRUE
70,1,0.573782544,1,TRUE
245,1,0.272192619,0,FALSE
74,0,0.006352374,0,TRUE
112,0,0.95291697,1,FALSE
152,1,0.930548284,1,TRUE
10,0,0.396127722,0,TRUE
47,0,0.032388287,0,TRUE
235,0,3.11E-05,0,TRUE
233,0,0.003470469,0,TRUE
244,1,0.258169399,0,FALSE
24,0,0.805870992,1,FALSE
179,1,0.062009559,0,FALSE
148,0,0.833510724,1,FALSE
171,1,0.531872088,1,TRUE
233,1,0.270239077,0,FALSE
142,1,0.193338083,0,FALSE
51,0,0.027863684,0,TRUE
143,0,0.00016055,0,TRUE
118,1,0.009740435,0,FALSE
100,0,0.089258041,0,TRUE
20,0,0.208621163,0,TRUE
21,1,0.343799172,0,FALSE
6,0,0.001909759,0,TRUE
50,0,0.002683529,0,TRUE
128,0,0.016426253,0,TRUE
32,1,0.331557641,0,FALSE
117,0,0.264448089,0,TRUE
244,0,0.004118164,0,TRUE
41,0,0.000614571,0,TRUE
241,0,0.96971705,1,FALSE
107,0,0.644257666,1,FALSE
172,1,0.005240997,0,FALSE
209,0,0.003855962,0,TRUE
29,0,0.030443833,0,TRUE
4,0,0.266781746,0,TRUE
229,1,0.99500404,1,TRUE
232,0,0.007754028,0,TRUE
28,0,0.785358088,1,FALSE
129,1,0.134758465,0,FALSE
153,1,0.197846424,0,FALSE
15,0,0.946531782,1,FALSE
147,1,0.755844784,1,TRUE
84,0,0.000506759,0,TRUE
162,1,1.68E-05,0,FALSE
70,0,0.376223498,0,TRUE
98,0,0.902506881,1,FALSE
182,0,0.338854016,0,TRUE
71,0,0.066193192,0,TRUE
207,1,0.581190474,1,TRUE
157,1,0.784371815,1,TRUE
33,1,0.568026848,1,TRUE
55,1,0.000716322,0,FALSE
22,1,0.587783707,1,TRUE
4,0,0.001421879,0,TRUE
144,0,0.019796263,0,TRUE
252,0,0.765528896,1,FALSE
210,1,0.013705737,0,FALSE
205,0,0.000880868,0,TRUE
137,0,0.016773689,0,TRUE
39,1,0.048648322,0,FALSE
39,1,0.513974433,1,TRUE
158,0,0.526417845,1,FALSE
82,1,0.012127496,0,FALSE
199,0,0.009112431,0,TRUE
189,0,0.001791169,0,TRUE
220,0,0.024208097,0,TRUE
160,0,0.303532358,0,TRUE
170,1,0.008643884,0,FALSE
54,1,0.999852583,1,TRUE
22,0,0.018814164,0,TRUE
90,1,0.919767684,1,TRUE
26,1,0.701466092,1,TRUE
226,1,0.948860122,1,TRUE
37,1,0.876458926,1,TRUE
133,0,0.90597216,1,FALSE
140,0,0.022611355,0,TRUE
210,0,0.399799499,0,TRUE
144,0,0.006982896,0,TRUE
65,1,0.228259697,0,FALSE
17,0,0.017888504,0,TRUE
2,0,0.033772681,0,TRUE
120,0,0.016658503,0,TRUE
191,1,0.012348557,0,FALSE
5,0,0.127797849,0,TRUE
106,1,0.852886305,1,TRUE
200,1,0.005968341,0,FALSE
250,1,0.070448225,0,FALSE
63,0,0.092694115,0,TRUE
177,0,0.000576947,0,TRUE
251,1,0.846699285,1,TRUE
73,0,0.9935374,1,FALSE
81,0,0.041903553,0,TRUE
153,1,0.003484015,0,FALSE
139,0,0.433136167,0,TRUE
230,0,0.008534509,0,TRUE
49,0,0.276268284,0,TRUE
12,0,0.133879215,0,TRUE
167,1,0.064855402,0,FALSE
207,1,0.018544077,0,FALSE
135,1,0.209339121,0,FALSE
182,0,0.002282035,0,TRUE
17,1,0.84308206,1,TRUE
132,0,0.007413074,0,TRUE
146,0,3.14E-05,0,TRUE
208,1,0.030882383,0,FALSE
92,0,0.00567534,0,TRUE
50,1,0.003492015,0,FALSE
77,0,0.077896199,0,TRUE
79,0,0.097363257,0,TRUE
146,0,0.153993139,0,TRUE
197,0,0.001799476,0,TRUE
62,0,0.383589005,0,TRUE
177,1,0.65588095,1,TRUE
181,0,0.16832635,0,TRUE
143,1,0.000268871,0,FALSE
184,0,0.006440862,0,TRUE
161,1,0.707947842,1,TRUE
185,0,0.001786527,0,TRUE
124,0,0.064286924,0,TRUE
113,0,0.256342077,0,TRUE
115,0,0.011530756,0,TRUE
97,0,0.063031868,0,TRUE
105,0,0.13895943,0,TRUE
149,1,0.434110527,0,FALSE
161,0,0.024014925,0,TRUE
16,0,0.013297483,0,TRUE
131,1,0.039148179,0,FALSE
168,1,0.085045802,0,FALSE
49,1,0.785122759,1,TRUE
211,0,0.317377054,0,TRUE
101,0,0.037689736,0,TRUE
34,1,0.991389059,1,TRUE
236,1,0.967310159,1,TRUE
108,1,0.88947057,1,TRUE
34,0,0.270013831,0,TRUE
47,1,0.997269998,1,TRUE
176,0,0.009254237,0,TRUE
53,0,0.821796261,1,FALSE
49,0,0.050748818,0,TRUE
26,0,0.466686634,0,TRUE
222,0,0.007158216,0,TRUE
189,1,0.999080744,1,TRUE
107,1,0.301165219,0,FALSE
145,1,0.647459403,1,TRUE
85,0,0.009092606,0,TRUE
136,0,0.011931484,0,TRUE
226,0,0.008186974,0,TRUE
35,0,0.313886243,0,TRUE
22,0,0.00254116,0,TRUE
135,0,0.087550987,0,TRUE
147,0,0.001838626,0,TRUE
171,1,0.970302786,1,TRUE
178,0,0.013197384,0,TRUE
76,1,0.00088971,0,FALSE
232,0,0.994157077,1,FALSE
206,1,0.096249628,0,FALSE
75,0,0.001198693,0,TRUE
154,0,0.029900547,0,TRUE
61,1,0.838976254,1,TRUE
236,0,0.054435893,0,TRUE
244,0,0.274469402,0,TRUE
181,0,0.050748649,0,TRUE
200,0,0.007605022,0,TRUE
139,0,0.007665496,0,TRUE
20,0,0.055357112,0,TRUE
155,1,0.000106581,0,FALSE
72,0,0.00014044,0,TRUE
202,1,0.960083881,1,TRUE
18,0,0.0047213,0,TRUE
177,0,0.002528428,0,TRUE
48,0,0.000380239,0,TRUE
104,0,0.297066377,0,TRUE
158,0,0.000538073,0,TRUE
190,0,0.07156536,0,TRUE
133,0,0.002794877,0,TRUE
203,0,0.969115748,1,FALSE
235,0,0.959530848,1,FALSE
224,0,0.000132645,0,TRUE
182,1,0.732964872,1,TRUE
87,1,0.987357858,1,TRUE
90,1,0.140442421,0,FALSE
169,0,0.792229708,1,FALSE
96,1,0.009923595,0,FALSE
201,1,0.789307803,1,TRUE
202,0,0.774097409,1,FALSE
79,0,0.030752332,0,TRUE
191,0,0.306052385,0,TRUE
221,0,0.029042716,0,TRUE
61,1,0.476660738,1,TRUE
118,1,0.01742551,0,FALSE
187,1,0.007975969,0,FALSE
142,0,0.001628786,0,TRUE
158,0,0.002868403,0,TRUE
90,1,0.885265518,1,TRUE
132,1,0.855506418,1,TRUE
140,1,0.040112284,0,FALSE
10,0,0.968843745,1,FALSE
107,1,0.003022631,0,FALSE
227,1,0.682415086,1,TRUE
171,0,0.293811431,0,TRUE
166,0,0.591420971,1,FALSE
34,0,0.482170004,1,FALSE
9,0,0.925787153,1,FALSE
128,1,0.021596445,0,FALSE
32,1,0.886461407,1,TRUE
96,1,0.90521301,1,TRUE
41,0,0.118993514,0,TRUE
123,0,0.01904171,0,TRUE
72,0,0.014756819,0,TRUE
148,0,0.000447355,0,TRUE
94,1,0.376483896,0,FALSE
47,1,0.003104052,0,FALSE
161,0,0.515841167,1,FALSE
240,0,0.037985308,0,TRUE
161,0,0.006271274,0,TRUE
217,0,0.000122406,0,TRUE
40,0,0.009329392,0,TRUE
220,0,0.060567623,0,TRUE
48,0,0.043623277,0,TRUE
64,0,0.724377423,1,FALSE
189,1,0.940537633,1,TRUE
222,1,0.246347386,0,FALSE